Hybrid_Schedule,Round,Configs,Epochs,Hit_Probability,Regret
Moderate_Linear,1,100,1,1.0,0.0
Moderate_Linear,2,80,10,0.8,0.00025
Moderate_Linear,3,60,30,1.0,0.0
Moderate_Linear,4,40,100,1.0,0.0
Moderate_Linear,5,1,100,0.4,0.011
Moderate_Standard,1,100,1,1.0,0.0
Moderate_Standard,2,50,10,0.2,0.003
Moderate_Standard,3,25,30,0.8,0.00075
Moderate_Standard,4,12,100,0.8,0.00075
Moderate_Standard,5,1,100,0.0,0.02375
Moderate_Aggressive,1,100,1,1.0,0.0
Moderate_Aggressive,2,20,10,0.0,0.00475
Moderate_Aggressive,3,5,30,1.0,0.0
Moderate_Aggressive,4,1,100,0.4,0.022
Moderate_Gradual,1,100,1,1.0,0.0
Moderate_Gradual,2,90,10,0.8,0.00025
Moderate_Gradual,3,80,30,1.0,0.0
Moderate_Gradual,4,70,100,1.0,0.0
Moderate_Gradual,5,1,100,0.4,0.011
Moderate_TwoStage,1,100,1,1.0,0.0
Moderate_TwoStage,2,50,10,0.2,0.003
Moderate_TwoStage,3,25,30,0.8,0.00075
Moderate_TwoStage,4,1,100,0.2,0.023
Aggressive_Linear,1,100,1,1.0,0.0
Aggressive_Linear,2,80,20,0.6,0.0005
Aggressive_Linear,3,60,100,1.0,0.0
Aggressive_Linear,4,1,100,0.4,0.0155
Aggressive_Standard,1,100,1,1.0,0.0
Aggressive_Standard,2,50,20,0.6,0.00125
Aggressive_Standard,3,25,100,1.0,0.0
Aggressive_Standard,4,1,100,0.4,0.015
Aggressive_Aggressive,1,100,1,1.0,0.0
Aggressive_Aggressive,2,20,20,0.4,0.0095
Aggressive_Aggressive,3,5,100,0.8,0.00125
Aggressive_Aggressive,4,1,100,0.0,0.007
Aggressive_Gradual,1,100,1,1.0,0.0
Aggressive_Gradual,2,90,20,0.8,0.00025
Aggressive_Gradual,3,80,100,1.0,0.0
Aggressive_Gradual,4,1,100,0.4,0.011
Aggressive_TwoStage,1,100,1,1.0,0.0
